OrderNumber,InventoryStatus,PaymentStatus,Customer,ContactName,Phone,Email,BillingAddress1,BillingAddress2,BillingCity,BillingState,BillingCountry,BillingPostalCode,BillingAddressRemarks,ShipToCompanyName,ShippingAddress1,ShippingAddress2,ShippingCity,ShippingState,ShippingCountry,ShippingPostalCode,ShippingAddressRemarks,CurrencyCode,ExchangeRate,NonCustomerCost,OrderDate,OrderRemarks,Freight,InvoicedDate,DueDate,DatePaid,AmountPaid,RequestedShipDate,PONumber,SalesRep,Location,PricingScheme,PaymentTerms,PaymentMethod,TaxingScheme,Tax1Rate,Tax2Rate,CalculateTax2OnTax1,Tax1Name,Tax2Name,Tax1OnShipping,Tax2OnShipping,Sales Type,Sales Person,LPO Date,ItemName,ItemDescription,ItemQuantity,ItemQuantityUoM,ItemUnitPrice,ItemDiscount,ItemSubtotal,ItemSerials,SpecialTaxRate,IsCancelled
SO-000168,Fulfilled,Paid,ABUJA CENTRAL MEDICAL STORES,ACMS,,,Billing Address,JABI,,,NIGERIA,,,,Billing Address,JABI,,,NIGERIA,,,NGN,1,,5/5/2017 10:41:05 AM,"INFLOW INVOICE NO IS SAME AS HAND WRITTEN INVOICE NO 2668

inoice paid less WHT & VAT",,5/5/2017 10:56:41 AM,5/4/2017 12:00:00 AM,7/7/2017 12:21:48 PM,2460000,5/4/2017 12:00:00 AM,LAB/388/17,Chiamaka Ngurukem,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Normal Price,,,No Tax,0,0,False,,,True,True,,,12 APRIL 2017,"450ML SINGLE ADULT BLOOD BAGS, 450 ML ","450ML SINGLE ADULT BLOOD BAGS, DP 10103",200,,12300,0 %,2460000,,Taxable,False
SO-000171,Fulfilled,Paid,ABUJA CENTRAL MEDICAL STORES,ACMS,,,Billing Address,JABI,,,NIGERIA,,,,Billing Address,JABI,,,NIGERIA,,,NGN,1,,5/5/2017 11:48:04 AM,INFLOW INVOICE IS SAME AS HADWRITTEN VITAMED INVOICE NO 0074,,5/5/2017 11:52:22 AM,5/4/2017 12:00:00 AM,7/2/2018 2:40:36 PM,2460000,5/4/2017 12:00:00 AM,lab/387/17,Chiamaka Ngurukem,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Normal Price,,,No Tax,0,0,False,,,True,True,,,11 april 2017,"450ML SINGLE ADULT BLOOD BAGS, 450 ML ","450ML SINGLE ADULT BLOOD BAGS, DP 10103",200,,12300,0 %,2460000,,Taxable,False
SO-000179,Fulfilled,Paid,ABUJA CENTRAL MEDICAL STORES,,,,"PLOT 7, CADASTRAL ZONE5",UTAKO DISTRICT,JABI,ABUJA,NIGERIA,,,,"PLOT 7, CADASTRAL ZONE5",UTAKO DISTRICT,JABI,ABUJA,NIGERIA,,,NGN,1,,5/8/2017 10:04:53 AM,,,,5/8/2017 12:00:00 AM,,0,5/8/2017 12:00:00 AM,,Bright Odoemelam,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Normal Price,,,No Tax,0,0,False,,,True,True,,,,"PROLACTIN, 96 TESTS ","PROLACTIN, LI4015F1, 96 TESTS , PF120801",2,,0,0 %,0,,Taxable,False
SO-000179,Fulfilled,Paid,ABUJA CENTRAL MEDICAL STORES,,,,"PLOT 7, CADASTRAL ZONE5",UTAKO DISTRICT,JABI,ABUJA,NIGERIA,,,,"PLOT 7, CADASTRAL ZONE5",UTAKO DISTRICT,JABI,ABUJA,NIGERIA,,,NGN,1,,5/8/2017 10:04:53 AM,,,,5/8/2017 12:00:00 AM,,0,5/8/2017 12:00:00 AM,,Bright Odoemelam,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Normal Price,,,No Tax,0,0,False,,,True,True,,,,"DOA- 14 PANEL TEST CUP, 1TEST ","1test, Lot: 16096",1,,0,0 %,0,,Taxable,False
SO-000210,Fulfilled,Paid,ABUJA CENTRAL MEDICAL STORES,,,,Billing Address,JABI,,,NIGERIA,,,,Billing Address,JABI,,,NIGERIA,,,NGN,1,,5/23/2017 2:13:10 PM,invoice paid. find attached,,6/14/2017 5:56:37 PM,5/22/2017 12:00:00 AM,7/7/2017 1:05:10 PM,2437890,,lab/389/17,Chiamaka Ngurukem,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Normal Price,,,No Tax,0,0,False,,,True,True,,,,"APDIA HIV P24 KIT, 192 TESTS ","APDIA HIV P24 KIT, 790001, 96 TESTS",19,,128310,0 %,2437890,,Taxable,False
SO-000339,Fulfilled,Paid,ABUJA CENTRAL MEDICAL STORES,,,,Billing Address,JABI,,,NIGERIA,,,,Billing Address,JABI,,,NIGERIA,,,NGN,1,,6/8/2017 8:48:13 AM,"ITEMS WERE DISPATCHED UNDER BOSCH. 

payment was confirmed during reconcilliation.",,6/8/2017 9:06:02 AM,6/8/2017 12:00:00 AM,1/26/2018 11:08:38 AM,2500000,6/8/2017 12:00:00 AM,ACMS/1110/LAB/485/17,Bright Odoemelam,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Normal Price,,,No Tax,0,0,False,,,True,True,,,18/05/2017,"ELITROL I, 10X5 ML ","ELITROL I, CONT-0060, 10X5 ML, LOT;01-1020-06, EXP;2018/08",10,,120000,0 %,1200000,,Taxable,False
SO-000339,Fulfilled,Paid,ABUJA CENTRAL MEDICAL STORES,,,,Billing Address,JABI,,,NIGERIA,,,,Billing Address,JABI,,,NIGERIA,,,NGN,1,,6/8/2017 8:48:13 AM,"ITEMS WERE DISPATCHED UNDER BOSCH. 

payment was confirmed during reconcilliation.",,6/8/2017 9:06:02 AM,6/8/2017 12:00:00 AM,1/26/2018 11:08:38 AM,2500000,6/8/2017 12:00:00 AM,ACMS/1110/LAB/485/17,Bright Odoemelam,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Normal Price,,,No Tax,0,0,False,,,True,True,,,18/05/2017,"ELITROL II,  10X5 ML ","ELITROL II, CONT-0160, 10X5 ML, LOT;02-2020-06, EXP:2018/08",10,,130000,0 %,1300000,,Taxable,False
SO-000426,Fulfilled,Paid,ABUJA CENTRAL MEDICAL STORES,,,,Billing Address,JABI,,,NIGERIA,,,,Billing Address,JABI,,,NIGERIA,,,NGN,1,,8/16/2016 12:00:00 AM,"supplies for August 2016.

PAYMENT LESS VAT & WHT",,6/14/2017 5:21:16 PM,8/16/2016 12:00:00 AM,7/7/2017 12:10:04 PM,2470200,,LPO # 159/16,Kingsley Ezeh,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Normal Price,,,No Tax,0,0,False,,,True,True,,,,Outstanding Invoices (Outstanding Payments)," Supply of 6 ISE diluent, 8 Elical 2, 6 Elitrol 1, 6 Elitrol 2",1,,2470200,0 %,2470200,,Taxable,False
SO-000428,Fulfilled,Paid,ABUJA CENTRAL MEDICAL STORES,,,,Billing Address,JABI,,,NIGERIA,,,,Billing Address,JABI,,,NIGERIA,,,NGN,1,,9/9/2016 12:00:00 AM,"supplies for septembert 2016.

Payment less WHT & VAT",,6/14/2017 5:24:56 PM,9/9/2016 12:00:00 AM,7/7/2017 12:11:44 PM,745340,,LPO # 194/16,Kingsley Ezeh,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Normal Price,,,No Tax,0,0,False,,,True,True,,,,Outstanding Invoices (Outstanding Payments)," Supply of 10, Elitech Alt, 10 Elitech uric acid",1,,745340,0 %,745340,,Taxable,False
SO-000429,Fulfilled,Paid,ABUJA CENTRAL MEDICAL STORES,,,,Billing Address,JABI,,,NIGERIA,,,,Billing Address,JABI,,,NIGERIA,,,NGN,1,,10/6/2016 12:00:00 AM,supplies for october 2016.,,6/14/2017 5:26:50 PM,10/6/2016 12:00:00 AM,1/26/2018 11:22:36 AM,2499000,,LPO # 108/16,Kingsley Ezeh,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Normal Price,,,No Tax,0,0,False,,,True,True,,,,Outstanding Invoices (Outstanding Payments), Supply of 21 blood bags,1,,2499000,0 %,2499000,,Taxable,False
