OrderNumber,InventoryStatus,PaymentStatus,Customer,ContactName,Phone,Email,BillingAddress1,BillingAddress2,BillingCity,BillingState,BillingCountry,BillingPostalCode,BillingAddressRemarks,ShipToCompanyName,ShippingAddress1,ShippingAddress2,ShippingCity,ShippingState,ShippingCountry,ShippingPostalCode,ShippingAddressRemarks,CurrencyCode,ExchangeRate,NonCustomerCost,OrderDate,OrderRemarks,Freight,InvoicedDate,DueDate,DatePaid,AmountPaid,RequestedShipDate,PONumber,SalesRep,Location,PricingScheme,PaymentTerms,PaymentMethod,TaxingScheme,Tax1Rate,Tax2Rate,CalculateTax2OnTax1,Tax1Name,Tax2Name,Tax1OnShipping,Tax2OnShipping,Sales Type,Sales Person,LPO Date,ItemName,ItemDescription,ItemQuantity,ItemQuantityUoM,ItemUnitPrice,ItemDiscount,ItemSubtotal,ItemSerials,SpecialTaxRate,IsCancelled
SO-000004,Fulfilled,Paid,FAITH ALIVE CLINIC JOS,faith alive,,,Faith Alive,,Jos,Plateau,Nigeria,23401,,,Faith Alive,,Jos,Plateau,Nigeria,23401,,NGN,1,,3/15/2017 12:00:00 AM,"2 PC OF ACETATE PAPER AND 2 BTL OF SHANDON BUFFER WERE USED IN REPAIR OF THE MACHINE.

   --Kindly find attached requisition form.
customer made a payment of N650,000.00 into access bank. find attached

Balalnce payment on 11-8-17",,3/15/2017 12:00:00 AM,3/15/2017 12:00:00 AM,8/11/2017 12:00:00 AM,795000,,,Chiamaka Ngurukem,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Normal Price,,,No Tax,0,0,False,,,True,True,,,,"ELECTROPHORESIS POWER SUPPLY, CTN ",CTN,1,,795000,0 %,795000,,Taxable,False
SO-000004,Fulfilled,Paid,FAITH ALIVE CLINIC JOS,faith alive,,,Faith Alive,,Jos,Plateau,Nigeria,23401,,,Faith Alive,,Jos,Plateau,Nigeria,23401,,NGN,1,,3/15/2017 12:00:00 AM,"2 PC OF ACETATE PAPER AND 2 BTL OF SHANDON BUFFER WERE USED IN REPAIR OF THE MACHINE.

   --Kindly find attached requisition form.
customer made a payment of N650,000.00 into access bank. find attached

Balalnce payment on 11-8-17",,3/15/2017 12:00:00 AM,3/15/2017 12:00:00 AM,8/11/2017 12:00:00 AM,795000,,,Chiamaka Ngurukem,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Normal Price,,,No Tax,0,0,False,,,True,True,,,,ELECTROPHORESIS MACHINE TANK,BOSCH ELECTROPHERESIS TANK,1,,0,0 %,0,,Taxable,False
SO-000132,Fulfilled,Paid,FAITH ALIVE CLINIC JOS,faith alive,,,FAITH ALIVE FOUNDATION,,,Jos,Nigeria,,,,FAITH ALIVE FOUNDATION,,,Jos,Nigeria,,,NGN,1,,4/20/2017 4:21:32 PM,REPLACEMENT of convergy ise analyzer,,,,,0,,,Chiamaka Ngurukem,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Normal Price,,,No Tax,0,0,False,,,True,True,,,,"LABJENIKS FULLY AUTOMATED ELECTROLYTE ANALYZER,",S/N 0370811160087,1,,0,0 %,0,,Taxable,False
SO-000292,Fulfilled,Paid,FAITH ALIVE CLINIC JOS,Mr Paschal,8036121984,,Faith Alive,Jos,,,Nigeria,,,,faith alive jos,jos,,,,,,NGN,1,,6/6/2017 8:42:31 AM,,,,6/6/2017 12:00:00 AM,,0,6/6/2017 12:00:00 AM,,Chinyere Nwosu,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Normal Price,,,No Tax,0,0,False,,,True,True,,,,APHERESIS MACHINE MCS+,HEMONETICS APHERESIS MACHINE.SN:15L7545PG ,1,,0,0 %,0,,Taxable,False
SO-000505,Fulfilled,Paid,FAITH ALIVE CLINIC JOS,faith alive,,,Faith Alive,Jos,,,Nigeria,,,,faith alive jos,jos,,,,,,NGN,1,,6/23/2017 9:40:11 AM,payment made into access bank. find attached,,6/23/2017 1:01:33 PM,6/23/2017 12:00:00 AM,6/23/2017 5:54:38 PM,146484.36,6/23/2017 12:00:00 AM,,Bright Odoemelam,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Normal Price,,,No Tax,0,0,False,,,True,True,,,,"DS-III (NO.3) STANDARD A,B& C BTLS ","Btls, LOT:20161229 , EXP: 2018-12-29",2,btl,73242.18,0 %,146484.36,,Taxable,False
SO-000562,Fulfilled,Paid,FAITH ALIVE CLINIC JOS,faith alive,,,Faith Alive,Jos,,,Nigeria,,,,faith alive jos,jos,,,,,,NGN,1,,7/3/2017 1:40:18 PM,,,7/3/2017 1:58:42 PM,7/3/2017 12:00:00 AM,,0,7/3/2017 12:00:00 AM,,Bright Odoemelam,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Normal Price,,,No Tax,0,0,False,,,True,True,,,,APHERESIS MCS TROLLEY  ,"HEMONETICS TROLLEY, UNIT ",1,pcs.,0,0 %,0,,Taxable,False
SO-000562,Fulfilled,Paid,FAITH ALIVE CLINIC JOS,faith alive,,,Faith Alive,Jos,,,Nigeria,,,,faith alive jos,jos,,,,,,NGN,1,,7/3/2017 1:40:18 PM,,,7/3/2017 1:58:42 PM,7/3/2017 12:00:00 AM,,0,7/3/2017 12:00:00 AM,,Bright Odoemelam,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Normal Price,,,No Tax,0,0,False,,,True,True,,,,"ACD-A, 500ML ","500ml, LOT:16426C17, EXP:2018-11",2,,0,0 %,0,,Taxable,False
SO-001365,Fulfilled,Paid,FAITH ALIVE CLINIC JOS,Christian Isichei ,8036121984,,Faith Alive,Jos,,,Nigeria,,,,faith alive jos,jos,,,,,,NGN,1,,2/24/2018 11:40:28 AM,"TERMS 
Currency: NAIRA 
Offer: DAP Jos
Order confirmation: confirmed PO
Delivery: within 3 days of order confirmation
Offer validity: 30 days.
Payment: 100% payments before delivery. ",,2/24/2018 11:57:04 AM,2/26/2018 12:00:00 AM,2/27/2018 2:05:35 PM,946286.52,,,Bright Odoemelam,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Normal Price,,,No Tax,0,0,False,,,False,True,PAID,Andrew Alaefule,,"REFERENCE FILING SOLUTION,  ",DS- REF FILLING SOLUTION 10ML 07/03/2019,2,btl,29000,5 %,55100,,Taxable,False
SO-001365,Fulfilled,Paid,FAITH ALIVE CLINIC JOS,Christian Isichei ,8036121984,,Faith Alive,Jos,,,Nigeria,,,,faith alive jos,jos,,,,,,NGN,1,,2/24/2018 11:40:28 AM,"TERMS 
Currency: NAIRA 
Offer: DAP Jos
Order confirmation: confirmed PO
Delivery: within 3 days of order confirmation
Offer validity: 30 days.
Payment: 100% payments before delivery. ",,2/24/2018 11:57:04 AM,2/26/2018 12:00:00 AM,2/27/2018 2:05:35 PM,946286.52,,,Bright Odoemelam,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Normal Price,,,No Tax,0,0,False,,,False,True,PAID,Andrew Alaefule,,"REFERENCE  ELECTRODE,P C ","REFERENCE  ELECTRODE,P C  86J171003, 86I171105 ",2,,166000,5 %,315400,,Taxable,False
SO-001365,Fulfilled,Paid,FAITH ALIVE CLINIC JOS,Christian Isichei ,8036121984,,Faith Alive,Jos,,,Nigeria,,,,faith alive jos,jos,,,,,,NGN,1,,2/24/2018 11:40:28 AM,"TERMS 
Currency: NAIRA 
Offer: DAP Jos
Order confirmation: confirmed PO
Delivery: within 3 days of order confirmation
Offer validity: 30 days.
Payment: 100% payments before delivery. ",,2/24/2018 11:57:04 AM,2/26/2018 12:00:00 AM,2/27/2018 2:05:35 PM,946286.52,,,Bright Odoemelam,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Normal Price,,,No Tax,0,0,False,,,False,True,PAID,Andrew Alaefule,,"DS-III (NO.3) STANDARD A,B& C BTLS ","DS-III STANDARD A,B,C P14.03.105045-00 06/04/2019",4,btl,73242.18,5 %,278320.28,,Taxable,False
