OrderNumber,InventoryStatus,PaymentStatus,Customer,ContactName,Phone,Email,BillingAddress1,BillingAddress2,BillingCity,BillingState,BillingCountry,BillingPostalCode,BillingAddressRemarks,ShipToCompanyName,ShippingAddress1,ShippingAddress2,ShippingCity,ShippingState,ShippingCountry,ShippingPostalCode,ShippingAddressRemarks,CurrencyCode,ExchangeRate,NonCustomerCost,OrderDate,OrderRemarks,Freight,InvoicedDate,DueDate,DatePaid,AmountPaid,RequestedShipDate,PONumber,SalesRep,Location,PricingScheme,PaymentTerms,PaymentMethod,TaxingScheme,Tax1Rate,Tax2Rate,CalculateTax2OnTax1,Tax1Name,Tax2Name,Tax1OnShipping,Tax2OnShipping,Sales Type,Sales Person,LPO Date,ItemName,ItemDescription,ItemQuantity,ItemQuantityUoM,ItemUnitPrice,ItemDiscount,ItemSubtotal,ItemSerials,SpecialTaxRate,IsCancelled
SO-001001,Fulfilled,Paid,FEDERAL MEDICAL CENTRE KATSINA,ALH. BALA,8035814160,fmckatsina@yahoo.com, Murtala Mohammed Way (Jibia Bypass), Murtala Mohammed Way (Jibia Bypass),KATSINA,KATSINA,NIGERIA,,,, Murtala Mohammed Way (Jibia Bypass), Murtala Mohammed Way (Jibia Bypass),KATSINA,KATSINA,NIGERIA,,,NGN,1,,11/22/2017 12:00:00 AM,"TERMS
Currency: Naira
Offer: DDP FMC Katsina
Order Confirmation: confirmed PO
Delivery: within 4 days of LPO
Payment: 100% payment in advance
Offer Validity: 28 days
Offer: 28 days",,11/22/2017 2:19:52 PM,12/2/2017 2:19:52 PM,1/3/2018 12:14:47 PM,1489640,11/22/2017 12:00:00 AM,FMCK/G.164/T,Chiamaka Ngurukem,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Normal Price,NET30,,No Tax,0,0,False,,,True,True,LPO SUPPLY,MR ANDREW,20 NOV 2017,"MYTHIC FLUSH-CLEANER 0.25L, 0.25 L ","Mythic 18-22 Flush-Cleaner 0.25L, HM18-011-025, EXP DATE:2018/6,LOT NO:706-97",2,btl,28000,0 %,56000,,Taxable,False
SO-001001,Fulfilled,Paid,FEDERAL MEDICAL CENTRE KATSINA,ALH. BALA,8035814160,fmckatsina@yahoo.com, Murtala Mohammed Way (Jibia Bypass), Murtala Mohammed Way (Jibia Bypass),KATSINA,KATSINA,NIGERIA,,,, Murtala Mohammed Way (Jibia Bypass), Murtala Mohammed Way (Jibia Bypass),KATSINA,KATSINA,NIGERIA,,,NGN,1,,11/22/2017 12:00:00 AM,"TERMS
Currency: Naira
Offer: DDP FMC Katsina
Order Confirmation: confirmed PO
Delivery: within 4 days of LPO
Payment: 100% payment in advance
Offer Validity: 28 days
Offer: 28 days",,11/22/2017 2:19:52 PM,12/2/2017 2:19:52 PM,1/3/2018 12:14:47 PM,1489640,11/22/2017 12:00:00 AM,FMCK/G.164/T,Chiamaka Ngurukem,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Normal Price,NET30,,No Tax,0,0,False,,,True,True,LPO SUPPLY,MR ANDREW,20 NOV 2017,MYTHIC 22 ONLYONE LYSE ,"LOT NO:1702,EXP DATE:2019/2",1,btl,71200,0 %,71200,,Taxable,False
SO-001001,Fulfilled,Paid,FEDERAL MEDICAL CENTRE KATSINA,ALH. BALA,8035814160,fmckatsina@yahoo.com, Murtala Mohammed Way (Jibia Bypass), Murtala Mohammed Way (Jibia Bypass),KATSINA,KATSINA,NIGERIA,,,, Murtala Mohammed Way (Jibia Bypass), Murtala Mohammed Way (Jibia Bypass),KATSINA,KATSINA,NIGERIA,,,NGN,1,,11/22/2017 12:00:00 AM,"TERMS
Currency: Naira
Offer: DDP FMC Katsina
Order Confirmation: confirmed PO
Delivery: within 4 days of LPO
Payment: 100% payment in advance
Offer Validity: 28 days
Offer: 28 days",,11/22/2017 2:19:52 PM,12/2/2017 2:19:52 PM,1/3/2018 12:14:47 PM,1489640,11/22/2017 12:00:00 AM,FMCK/G.164/T,Chiamaka Ngurukem,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Normal Price,NET30,,No Tax,0,0,False,,,True,True,LPO SUPPLY,MR ANDREW,20 NOV 2017,MYTHIC 22 ONLYONE LYSE ,"LOT NO:1702,EXP DATE:2019/2",6,btl,76900,0 %,461400,,Taxable,False
SO-001001,Fulfilled,Paid,FEDERAL MEDICAL CENTRE KATSINA,ALH. BALA,8035814160,fmckatsina@yahoo.com, Murtala Mohammed Way (Jibia Bypass), Murtala Mohammed Way (Jibia Bypass),KATSINA,KATSINA,NIGERIA,,,, Murtala Mohammed Way (Jibia Bypass), Murtala Mohammed Way (Jibia Bypass),KATSINA,KATSINA,NIGERIA,,,NGN,1,,11/22/2017 12:00:00 AM,"TERMS
Currency: Naira
Offer: DDP FMC Katsina
Order Confirmation: confirmed PO
Delivery: within 4 days of LPO
Payment: 100% payment in advance
Offer Validity: 28 days
Offer: 28 days",,11/22/2017 2:19:52 PM,12/2/2017 2:19:52 PM,1/3/2018 12:14:47 PM,1489640,11/22/2017 12:00:00 AM,FMCK/G.164/T,Chiamaka Ngurukem,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Normal Price,NET30,,No Tax,0,0,False,,,True,True,LPO SUPPLY,MR ANDREW,20 NOV 2017,"MYTHIC 22 CLEANING SOLUTION 1L, 1L"," HM22-001-1,exp:2018/7",4,btl,75340,0 %,301360,,Taxable,False
SO-001001,Fulfilled,Paid,FEDERAL MEDICAL CENTRE KATSINA,ALH. BALA,8035814160,fmckatsina@yahoo.com, Murtala Mohammed Way (Jibia Bypass), Murtala Mohammed Way (Jibia Bypass),KATSINA,KATSINA,NIGERIA,,,, Murtala Mohammed Way (Jibia Bypass), Murtala Mohammed Way (Jibia Bypass),KATSINA,KATSINA,NIGERIA,,,NGN,1,,11/22/2017 12:00:00 AM,"TERMS
Currency: Naira
Offer: DDP FMC Katsina
Order Confirmation: confirmed PO
Delivery: within 4 days of LPO
Payment: 100% payment in advance
Offer Validity: 28 days
Offer: 28 days",,11/22/2017 2:19:52 PM,12/2/2017 2:19:52 PM,1/3/2018 12:14:47 PM,1489640,11/22/2017 12:00:00 AM,FMCK/G.164/T,Chiamaka Ngurukem,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Normal Price,NET30,,No Tax,0,0,False,,,True,True,LPO SUPPLY,MR ANDREW,20 NOV 2017,"MYTHIC 22 DILUENT 10L, 10L ",,8,,74960,0 %,599680,,Taxable,False
SO-001002,Fulfilled,Uninvoiced,FEDERAL MEDICAL CENTRE KATSINA,ALH. BALA,8035814160,fmckatsina@yahoo.com, Murtala Mohammed Way (Jibia Bypass), Murtala Mohammed Way (Jibia Bypass),KATSINA,KATSINA,NIGERIA,,,, Murtala Mohammed Way (Jibia Bypass), Murtala Mohammed Way (Jibia Bypass),KATSINA,KATSINA,NIGERIA,,,NGN,1,,11/10/2017 4:11:02 PM,,,,11/10/2017 12:00:00 AM,,0,11/10/2017 3:59:44 PM,,Chiamaka Ngurukem,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Normal Price,Doantions,,No Tax,0,0,False,,,True,True,DONATION,MR ANDREW,,"250 ML SINGLE PEDIATRIC BLOOD BAGS, 250 ML ","250 ML SINGLE PEDIATRIC BLOOD BAGS, DP10106, 250 ML EXP DATE:2018/9, LOT:H43151030B",1,pouch,8625,0 %,8625,,Taxable,False
SO-001002,Fulfilled,Uninvoiced,FEDERAL MEDICAL CENTRE KATSINA,ALH. BALA,8035814160,fmckatsina@yahoo.com, Murtala Mohammed Way (Jibia Bypass), Murtala Mohammed Way (Jibia Bypass),KATSINA,KATSINA,NIGERIA,,,, Murtala Mohammed Way (Jibia Bypass), Murtala Mohammed Way (Jibia Bypass),KATSINA,KATSINA,NIGERIA,,,NGN,1,,11/10/2017 4:11:02 PM,,,,11/10/2017 12:00:00 AM,,0,11/10/2017 3:59:44 PM,,Chiamaka Ngurukem,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Normal Price,Doantions,,No Tax,0,0,False,,,True,True,DONATION,MR ANDREW,,SODIUM CITRATE 2.7ML,13*75 EXP DATE:2018/3 LOT:17F0576,73,pcs.,0,0 %,0,,Taxable,False
SO-001003,Fulfilled,Invoiced,UNIVERSITY OF CALABAR TEACHING HOSPITAL / CHEM. PATH DEPT.,DR EFOBI HENRY A  DEPT OF CHEMICAL PATHOLOGY UCTH CALABAR,,,"Moor Road, Near Government House, Calabar.","Etta Agbor Layout, Court Road",CALABAR,CROSS RIVER,NIGERIA,,,,"Moor Road, Near Government House, Calabar.","Etta Agbor Layout, Court Road",CALABAR,CROSS RIVER,NIGERIA,,,NGN,1,,11/10/2017 4:03:07 PM,,,11/10/2017 5:23:30 PM,11/10/2017 5:23:30 PM,,0,,,Chiamaka Ngurukem,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Normal Price,NET0,,No Tax,0,0,False,,,True,True,NORMAL,,,Outstanding Invoices (Outstanding Payments),supply of fully automated electrolyte analyser,1,,2822000,0 %,2822000,,Taxable,False
SO-001004,Unfulfilled,Invoiced,Theodor Wille Intertrade Gmbh,Syed Ali (Supply Chain Analyst),+971.52.640.4102,syed.ali@twipv.com,"Alpenstrasse 15,6304.","Zug, Switzerland",,,,,,Zamfara State Central Medical Stores.,"Zaria Express Road,","Samaru, Gusau",,Zamfara,Nigeria,,,GBP,1,,11/10/2017 4:25:08 PM,"PAYMENT: 50% Pre-shipment inspection, 50% net 30 after delivery.

INCOTERMS: Delivered at place- Zamfara,Nigeria.





VIVIAN OPARA
SUPPLY CHAIN DEPT.",,11/13/2017 3:38:07 PM,11/13/2017 3:38:07 PM,11/13/2017 3:43:18 PM,0,2/23/2018 12:00:00 AM,PO-006129,Vivian Opara,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Pound Transactions,NET0,,No Tax,0,0,False,,,True,True,,,29/09/2017,ARTERY FORCEPS KOCHER 140MM STRAIGHT,"Artery forceps Kocher 140mm str. Brand:Surgimax  Model No:06-262-14
Colour:stainless Vendor Remarks: Exact
",100,,3.51,0 %,351,,Taxable,False
SO-001004,Unfulfilled,Invoiced,Theodor Wille Intertrade Gmbh,Syed Ali (Supply Chain Analyst),+971.52.640.4102,syed.ali@twipv.com,"Alpenstrasse 15,6304.","Zug, Switzerland",,,,,,Zamfara State Central Medical Stores.,"Zaria Express Road,","Samaru, Gusau",,Zamfara,Nigeria,,,GBP,1,,11/10/2017 4:25:08 PM,"PAYMENT: 50% Pre-shipment inspection, 50% net 30 after delivery.

INCOTERMS: Delivered at place- Zamfara,Nigeria.





VIVIAN OPARA
SUPPLY CHAIN DEPT.",,11/13/2017 3:38:07 PM,11/13/2017 3:38:07 PM,11/13/2017 3:43:18 PM,0,2/23/2018 12:00:00 AM,PO-006129,Vivian Opara,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Pound Transactions,NET0,,No Tax,0,0,False,,,True,True,,,29/09/2017,ARTERY FORCEPS SPENCER WELLS STRAIGHT 150MM,"Artery forceps Spencer Wells str, 150mm Stainless steel, Medical Grade, Brand:Surgimax  Model No:06-245-14
Colour:stainless Vendor Remarks: Exact
",210,,3.61,0 %,758.1,,Taxable,False
SO-001004,Unfulfilled,Invoiced,Theodor Wille Intertrade Gmbh,Syed Ali (Supply Chain Analyst),+971.52.640.4102,syed.ali@twipv.com,"Alpenstrasse 15,6304.","Zug, Switzerland",,,,,,Zamfara State Central Medical Stores.,"Zaria Express Road,","Samaru, Gusau",,Zamfara,Nigeria,,,GBP,1,,11/10/2017 4:25:08 PM,"PAYMENT: 50% Pre-shipment inspection, 50% net 30 after delivery.

INCOTERMS: Delivered at place- Zamfara,Nigeria.





VIVIAN OPARA
SUPPLY CHAIN DEPT.",,11/13/2017 3:38:07 PM,11/13/2017 3:38:07 PM,11/13/2017 3:43:18 PM,0,2/23/2018 12:00:00 AM,PO-006129,Vivian Opara,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Pound Transactions,NET0,,No Tax,0,0,False,,,True,True,,,29/09/2017,"ARTERY FORCEPS,KOCHER 180MM CURVED","Artery forceps, Kocher 180mm cvd, Stainless steel, Medical Grade, Brand:Surgimax  Model No:06-305-18
Colour:stainless
",98,,4.06,0 %,397.88,,Taxable,False
SO-001004,Unfulfilled,Invoiced,Theodor Wille Intertrade Gmbh,Syed Ali (Supply Chain Analyst),+971.52.640.4102,syed.ali@twipv.com,"Alpenstrasse 15,6304.","Zug, Switzerland",,,,,,Zamfara State Central Medical Stores.,"Zaria Express Road,","Samaru, Gusau",,Zamfara,Nigeria,,,GBP,1,,11/10/2017 4:25:08 PM,"PAYMENT: 50% Pre-shipment inspection, 50% net 30 after delivery.

INCOTERMS: Delivered at place- Zamfara,Nigeria.





VIVIAN OPARA
SUPPLY CHAIN DEPT.",,11/13/2017 3:38:07 PM,11/13/2017 3:38:07 PM,11/13/2017 3:43:18 PM,0,2/23/2018 12:00:00 AM,PO-006129,Vivian Opara,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Pound Transactions,NET0,,No Tax,0,0,False,,,True,True,,,29/09/2017,"ARTERY FORCEPS, KOCHER 180MM STRAIGHT","Artery forceps, Kocher 180mm st. Stainless steel, Medical Grade, Brand:Surgimax  Model No:06-296-18
Colour:stainless
",98,,4.5,0 %,441,,Taxable,False
SO-001004,Unfulfilled,Invoiced,Theodor Wille Intertrade Gmbh,Syed Ali (Supply Chain Analyst),+971.52.640.4102,syed.ali@twipv.com,"Alpenstrasse 15,6304.","Zug, Switzerland",,,,,,Zamfara State Central Medical Stores.,"Zaria Express Road,","Samaru, Gusau",,Zamfara,Nigeria,,,GBP,1,,11/10/2017 4:25:08 PM,"PAYMENT: 50% Pre-shipment inspection, 50% net 30 after delivery.

INCOTERMS: Delivered at place- Zamfara,Nigeria.





VIVIAN OPARA
SUPPLY CHAIN DEPT.",,11/13/2017 3:38:07 PM,11/13/2017 3:38:07 PM,11/13/2017 3:43:18 PM,0,2/23/2018 12:00:00 AM,PO-006129,Vivian Opara,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Pound Transactions,NET0,,No Tax,0,0,False,,,True,True,,,29/09/2017,"ARTERY FORCEPS, MOSQUITO KELLY HALSTEAD CURVED","Artery forceps, mosquito Kelly Halstead cvd.
Stainless steel, Medical Grade, Brand:Surgimax  Model No:06-215-12
Colour:stainless
",98,,3.51,0 %,343.98,,Taxable,False
SO-001004,Unfulfilled,Invoiced,Theodor Wille Intertrade Gmbh,Syed Ali (Supply Chain Analyst),+971.52.640.4102,syed.ali@twipv.com,"Alpenstrasse 15,6304.","Zug, Switzerland",,,,,,Zamfara State Central Medical Stores.,"Zaria Express Road,","Samaru, Gusau",,Zamfara,Nigeria,,,GBP,1,,11/10/2017 4:25:08 PM,"PAYMENT: 50% Pre-shipment inspection, 50% net 30 after delivery.

INCOTERMS: Delivered at place- Zamfara,Nigeria.





VIVIAN OPARA
SUPPLY CHAIN DEPT.",,11/13/2017 3:38:07 PM,11/13/2017 3:38:07 PM,11/13/2017 3:43:18 PM,0,2/23/2018 12:00:00 AM,PO-006129,Vivian Opara,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Pound Transactions,NET0,,No Tax,0,0,False,,,True,True,,,29/09/2017,"ARTERY FORCEPS, MOSQUITO KELLY HALSTEAD STRAIGHT","Artery forceps, mosquito Kelly Halstead str. Stainless steel, Medical Grade, Brand:Surgimax  Model No:06-214-12
Colour:stainless
",98,,3.42,0 %,335.16,,Taxable,False
SO-001004,Unfulfilled,Invoiced,Theodor Wille Intertrade Gmbh,Syed Ali (Supply Chain Analyst),+971.52.640.4102,syed.ali@twipv.com,"Alpenstrasse 15,6304.","Zug, Switzerland",,,,,,Zamfara State Central Medical Stores.,"Zaria Express Road,","Samaru, Gusau",,Zamfara,Nigeria,,,GBP,1,,11/10/2017 4:25:08 PM,"PAYMENT: 50% Pre-shipment inspection, 50% net 30 after delivery.

INCOTERMS: Delivered at place- Zamfara,Nigeria.





VIVIAN OPARA
SUPPLY CHAIN DEPT.",,11/13/2017 3:38:07 PM,11/13/2017 3:38:07 PM,11/13/2017 3:43:18 PM,0,2/23/2018 12:00:00 AM,PO-006129,Vivian Opara,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Pound Transactions,NET0,,No Tax,0,0,False,,,True,True,,,29/09/2017,"ARTERY FORCEPS, ROCHESTER PEAN,160MM","Artery forceps, Rochester Pean, 160mm, Stainless steel Medical Grade Brand:Surgimax  Model No:06-257-16
Colour:stainless
",98,,3.81,0 %,373.38,,Taxable,False
SO-001004,Unfulfilled,Invoiced,Theodor Wille Intertrade Gmbh,Syed Ali (Supply Chain Analyst),+971.52.640.4102,syed.ali@twipv.com,"Alpenstrasse 15,6304.","Zug, Switzerland",,,,,,Zamfara State Central Medical Stores.,"Zaria Express Road,","Samaru, Gusau",,Zamfara,Nigeria,,,GBP,1,,11/10/2017 4:25:08 PM,"PAYMENT: 50% Pre-shipment inspection, 50% net 30 after delivery.

INCOTERMS: Delivered at place- Zamfara,Nigeria.





VIVIAN OPARA
SUPPLY CHAIN DEPT.",,11/13/2017 3:38:07 PM,11/13/2017 3:38:07 PM,11/13/2017 3:43:18 PM,0,2/23/2018 12:00:00 AM,PO-006129,Vivian Opara,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Pound Transactions,NET0,,No Tax,0,0,False,,,True,True,,,29/09/2017,"FORCEPS DISSECTING STANDARD, 160MM, SERRATED JAW SPRING TYPE","Forceps dissecting standard, 160mm, serrated
jaw spring type, Stainless steel Medical
Grade, Brand:Surgimax Model No:05-901-16
Colour:stainless
",98,,3.22,0 %,315.56,,Taxable,False
SO-001004,Unfulfilled,Invoiced,Theodor Wille Intertrade Gmbh,Syed Ali (Supply Chain Analyst),+971.52.640.4102,syed.ali@twipv.com,"Alpenstrasse 15,6304.","Zug, Switzerland",,,,,,Zamfara State Central Medical Stores.,"Zaria Express Road,","Samaru, Gusau",,Zamfara,Nigeria,,,GBP,1,,11/10/2017 4:25:08 PM,"PAYMENT: 50% Pre-shipment inspection, 50% net 30 after delivery.

INCOTERMS: Delivered at place- Zamfara,Nigeria.





VIVIAN OPARA
SUPPLY CHAIN DEPT.",,11/13/2017 3:38:07 PM,11/13/2017 3:38:07 PM,11/13/2017 3:43:18 PM,0,2/23/2018 12:00:00 AM,PO-006129,Vivian Opara,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Pound Transactions,NET0,,No Tax,0,0,False,,,True,True,,,29/09/2017,"FORCEPS DISSECTING, FINE145MM 1X2 TEETH","Forceps dissecting, fine 145mm 1x2 teeth,Stainless steel Medical Grade, Brand:Surgimax  Model No:05-923-14
Colour:stainless
",98,,3.51,0 %,343.98,,Taxable,False
SO-001004,Unfulfilled,Invoiced,Theodor Wille Intertrade Gmbh,Syed Ali (Supply Chain Analyst),+971.52.640.4102,syed.ali@twipv.com,"Alpenstrasse 15,6304.","Zug, Switzerland",,,,,,Zamfara State Central Medical Stores.,"Zaria Express Road,","Samaru, Gusau",,Zamfara,Nigeria,,,GBP,1,,11/10/2017 4:25:08 PM,"PAYMENT: 50% Pre-shipment inspection, 50% net 30 after delivery.

INCOTERMS: Delivered at place- Zamfara,Nigeria.





VIVIAN OPARA
SUPPLY CHAIN DEPT.",,11/13/2017 3:38:07 PM,11/13/2017 3:38:07 PM,11/13/2017 3:43:18 PM,0,2/23/2018 12:00:00 AM,PO-006129,Vivian Opara,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Pound Transactions,NET0,,No Tax,0,0,False,,,True,True,,,29/09/2017,"FORCEPS DISSECTING,FINE WAUGH 150MM","Forceps dissecting, fine Waugh
150mm,Stainless steel Medical Grade, Brand:Surgimax  Model No:05-920-15
Colour:stainless
",98,,3.42,0 %,335.16,,Taxable,False
SO-001004,Unfulfilled,Invoiced,Theodor Wille Intertrade Gmbh,Syed Ali (Supply Chain Analyst),+971.52.640.4102,syed.ali@twipv.com,"Alpenstrasse 15,6304.","Zug, Switzerland",,,,,,Zamfara State Central Medical Stores.,"Zaria Express Road,","Samaru, Gusau",,Zamfara,Nigeria,,,GBP,1,,11/10/2017 4:25:08 PM,"PAYMENT: 50% Pre-shipment inspection, 50% net 30 after delivery.

INCOTERMS: Delivered at place- Zamfara,Nigeria.





VIVIAN OPARA
SUPPLY CHAIN DEPT.",,11/13/2017 3:38:07 PM,11/13/2017 3:38:07 PM,11/13/2017 3:43:18 PM,0,2/23/2018 12:00:00 AM,PO-006129,Vivian Opara,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Pound Transactions,NET0,,No Tax,0,0,False,,,True,True,,,29/09/2017,"FORCEP DISSECTING ,FINE WAUGH 150MM 1X2 TEETH","Forceps dissecting, fine Waugh 150mm 1x2 teeth, Stainless steel Medical GradeBrand:Surgimax Model No:05-958-15
Colour:stainless ",98,,3.51,0 %,343.98,,Taxable,False
