OrderNumber,InventoryStatus,PaymentStatus,Customer,ContactName,Phone,Email,BillingAddress1,BillingAddress2,BillingCity,BillingState,BillingCountry,BillingPostalCode,BillingAddressRemarks,ShipToCompanyName,ShippingAddress1,ShippingAddress2,ShippingCity,ShippingState,ShippingCountry,ShippingPostalCode,ShippingAddressRemarks,CurrencyCode,ExchangeRate,NonCustomerCost,OrderDate,OrderRemarks,Freight,InvoicedDate,DueDate,DatePaid,AmountPaid,RequestedShipDate,PONumber,SalesRep,Location,PricingScheme,PaymentTerms,PaymentMethod,TaxingScheme,Tax1Rate,Tax2Rate,CalculateTax2OnTax1,Tax1Name,Tax2Name,Tax1OnShipping,Tax2OnShipping,Sales Type,Sales Person,LPO Date,ItemName,ItemDescription,ItemQuantity,ItemQuantityUoM,ItemUnitPrice,ItemDiscount,ItemSubtotal,ItemSerials,SpecialTaxRate,IsCancelled
SO-000208,Started,Uninvoiced,"HJF Medical Research International, LTD/GTE",Procurement Department,,,,,Abuja,FCT,Nigeria,,,US DOD warehouse.NO 27 sekonde crescent after Grand Ibro Hotel wuse zone 5.,,,Abuja,FCT,Nigeria,,,NGN,1,,5/23/2017 11:15:16 AM,,,,,,0,5/23/2017 12:00:00 AM,,Bright Odoemelam,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Normal Price,NET0,,No Tax,0,0,False,,,True,True,,,,"TOTAL PROTEIN PLUS, 2X125 ML ","TOTAL PROTEIN PLUS, PROB-0600, 2X125 ML.LOT NO 17-0219.EXP 2018-03",6,,6427.13,0 %,38562.78,,Taxable,False
SO-000208,Started,Uninvoiced,"HJF Medical Research International, LTD/GTE",Procurement Department,,,,,Abuja,FCT,Nigeria,,,US DOD warehouse.NO 27 sekonde crescent after Grand Ibro Hotel wuse zone 5.,,,Abuja,FCT,Nigeria,,,NGN,1,,5/23/2017 11:15:16 AM,,,,,,0,5/23/2017 12:00:00 AM,,Bright Odoemelam,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Normal Price,NET0,,No Tax,0,0,False,,,True,True,,,,"TOTAL PROTEIN PLUS, 2X125 ML ","TOTAL PROTEIN PLUS, PROB-0600, 2X125 ML.LOT No  16-1830.EXP 2018-01",2,,6427.13,0 %,12854.26,,Taxable,False
SO-000208,Started,Uninvoiced,"HJF Medical Research International, LTD/GTE",Procurement Department,,,,,Abuja,FCT,Nigeria,,,US DOD warehouse.NO 27 sekonde crescent after Grand Ibro Hotel wuse zone 5.,,,Abuja,FCT,Nigeria,,,NGN,1,,5/23/2017 11:15:16 AM,,,,,,0,5/23/2017 12:00:00 AM,,Bright Odoemelam,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Normal Price,NET0,,No Tax,0,0,False,,,True,True,,,,"BILIRUBIN TOTAL 4+1, 2X 125 ML  ","Bilirubin Total 4+1 BITO-0600, 2x 125 ml.Lot No 16-1883.EXP 2018-07",8,,8341.13,0 %,66729.04,,Taxable,False
SO-000208,Started,Uninvoiced,"HJF Medical Research International, LTD/GTE",Procurement Department,,,,,Abuja,FCT,Nigeria,,,US DOD warehouse.NO 27 sekonde crescent after Grand Ibro Hotel wuse zone 5.,,,Abuja,FCT,Nigeria,,,NGN,1,,5/23/2017 11:15:16 AM,,,,,,0,5/23/2017 12:00:00 AM,,Bright Odoemelam,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Normal Price,NET0,,No Tax,0,0,False,,,True,True,,,,"ALT / GPT SL, 4 X 62,5   ML ","ALT / GPT SL, ALSL-0430, 4 x 62,5mL.LOT No 17-0360.EXP 2018-07",8,,10784.38,0 %,86275.04,,Taxable,False
SO-000208,Started,Uninvoiced,"HJF Medical Research International, LTD/GTE",Procurement Department,,,,,Abuja,FCT,Nigeria,,,US DOD warehouse.NO 27 sekonde crescent after Grand Ibro Hotel wuse zone 5.,,,Abuja,FCT,Nigeria,,,NGN,1,,5/23/2017 11:15:16 AM,,,,,,0,5/23/2017 12:00:00 AM,,Bright Odoemelam,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Normal Price,NET0,,No Tax,0,0,False,,,True,True,,,,"AST / GOT SL, 4 X 62,5 ML   ","AST / GOT SL, ASSL-0430, 4 x 62,5 ml.LOT No 17-0489.EXP 2018-06",8,,18854.54,0 %,150836.32,,Taxable,False
SO-000208,Started,Uninvoiced,"HJF Medical Research International, LTD/GTE",Procurement Department,,,,,Abuja,FCT,Nigeria,,,US DOD warehouse.NO 27 sekonde crescent after Grand Ibro Hotel wuse zone 5.,,,Abuja,FCT,Nigeria,,,NGN,1,,5/23/2017 11:15:16 AM,,,,,,0,5/23/2017 12:00:00 AM,,Bright Odoemelam,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Normal Price,NET0,,No Tax,0,0,False,,,True,True,,,,"ISE CLEANER & CONDITONER, 6 X 8 ML + 3 X 25 ML ","ISE CLEANER & CONDITONER, ISCC-0280, 6 x 8 ml + 3 x 25 ml.Lot No 17-0467.EXP 2018-07",4,,63720.7,0 %,254882.8,,Taxable,False
SO-000208,Started,Uninvoiced,"HJF Medical Research International, LTD/GTE",Procurement Department,,,,,Abuja,FCT,Nigeria,,,US DOD warehouse.NO 27 sekonde crescent after Grand Ibro Hotel wuse zone 5.,,,Abuja,FCT,Nigeria,,,NGN,1,,5/23/2017 11:15:16 AM,,,,,,0,5/23/2017 12:00:00 AM,,Bright Odoemelam,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Normal Price,NET0,,No Tax,0,0,False,,,True,True,,,,"LDL CHOLESTEROL DIRECT SL 2G, 1X80 ML ","LDL CHOLESTEROL DIRECT SL 2G, LDLL-0380, 1X80mL.Lot No 17-0432.EXP 2018-10",7,,72645,0 %,508515,,Taxable,False
SO-000208,Started,Uninvoiced,"HJF Medical Research International, LTD/GTE",Procurement Department,,,,,Abuja,FCT,Nigeria,,,US DOD warehouse.NO 27 sekonde crescent after Grand Ibro Hotel wuse zone 5.,,,Abuja,FCT,Nigeria,,,NGN,1,,5/23/2017 11:15:16 AM,,,,,,0,5/23/2017 12:00:00 AM,,Bright Odoemelam,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Normal Price,NET0,,No Tax,0,0,False,,,True,True,,,,"LDL CHOLESTEROL DIRECT SL 2G, 1X80 ML ","LDL CHOLESTEROL DIRECT SL 2G, LDLL-0380, 1X80mL.Lot No 16-1704.EXP 2018-05",1,,72645,0 %,72645,,Taxable,False
SO-000208,Started,Uninvoiced,"HJF Medical Research International, LTD/GTE",Procurement Department,,,,,Abuja,FCT,Nigeria,,,US DOD warehouse.NO 27 sekonde crescent after Grand Ibro Hotel wuse zone 5.,,,Abuja,FCT,Nigeria,,,NGN,1,,5/23/2017 11:15:16 AM,,,,,,0,5/23/2017 12:00:00 AM,,Bright Odoemelam,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Normal Price,NET0,,No Tax,0,0,False,,,True,True,,,,"HDL CHOLESTEROL DIRECT 2G SL, 1 X 80 ML ","HDL Cholesterol Direct 2G SL, HDLL-0380, 1 x 80 ml.Lot No 17-0547.EXP 2018-10",6,,32851.56,0 %,197109.36,,Taxable,False
SO-000208,Started,Uninvoiced,"HJF Medical Research International, LTD/GTE",Procurement Department,,,,,Abuja,FCT,Nigeria,,,US DOD warehouse.NO 27 sekonde crescent after Grand Ibro Hotel wuse zone 5.,,,Abuja,FCT,Nigeria,,,NGN,1,,5/23/2017 11:15:16 AM,,,,,,0,5/23/2017 12:00:00 AM,,Bright Odoemelam,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",Normal Price,NET0,,No Tax,0,0,False,,,True,True,,,,"HDL CHOLESTEROL DIRECT 2G SL, 1 X 80 ML ","HDL Cholesterol Direct 2G SL, HDLL-0380, 1 x 80 ml.Lot No 17-0216.EXP 2018-10",2,,32851.56,0 %,65703.12,,Taxable,False
